"","bathrooms","bedrooms","building_id","created","description","display_address","latitude","listing_id","longitude","manager_id","price","street_address","interest_level"
"1",1,2,"9805e7c1cf13f3b18a63e61aec7ba577","2016-05-23 05:23:29","*Please excuse the photos as the apartment is being renovated.2 equal size bedrooms that can fit at least a full size bed. Large living room with space for all of your furniture!New kitchen appliances! Easily the best deal on the Upper east side! Shares and guarantors are welcome!<br /><br /><br /><br />The illustrious Upper East Side is widely renowned for its high-quality residential living and its world-class cultural institutions. This neighborhood is famous for being green and beautiful, so it?s no wonder that the Upper East Side is easily one of the most charming neighborhoods in Manhattan. Its prestigious history of wealthy residents has made the number of distinct architectural gems hard to count. Extending from Central Park to the East River between 59th Street and 95th Street in Manhattan, the Upper East Side is a a bastion of Manhattan sophistication, and therein lies its attraction. The avenues themselves are synonymous with high-class living: Madison Ave holds numerable high-end retail shops; Park Ave has long been the residence of choice for New York elites; and 5th Avenue?s Museum Mile boasts some of the country's most visited cultural institutions, such as the Museum of Modern Art, the Metropolitan Museum of Art, the Guggenheim Museum, and the Whitney Museum of American Art. Very few places in the world can match the elegance and culture here! I am your broker to explore it with! Call Lyuba 071-616-3773<br /><br /><p><a  website_redacted "," E 91st",40.7801,7055664,-73.9478,"d4e72926d837c6ca5849c62cead367b4",2800,"350  E 91st","low"
"2",1,1,"0","2016-05-17 03:25:32","(Apartment Under Renovation, Photos Of Sister Unit)Location: Broadway Terrace at 193rd St. Live up the block from Fort Tryon Park in this bright and shiny prewar 2bedroom with modern open kitchen one block from the A and 1 Trains.Call or Text Michael (846-669-1742 to have a look or email at kagglemanager@renthop.com Apartment:-Spacious Old New York Layout-Modern Kitchen w/Dishwasher-High Ceilings-Inlaid Wood Floors-Tall Deep ClosetsThe Neighborhood:-A and 1 Train Service-Cloisters, Fort Tryon &amp; Inwood Hill Parks-Dyckman Shopping District-Eat/Drink (Apt. 78, Ft Tryon Public House, Pizza Palace, Kenny Bakery, Mama Sushi)  -Organic Health Food Store, Associated -US Post Office-NY Public LibraryNot what you're looking for? I can show anything on Bohemia's website. I grew up in New York and have been an Uptown resident for over a decade, let's make that perfect apartment MATCH!Call Michael 846-669-1742 or email at kagglemanager@renthop.com","Broadway Terrace",40.8578,7022436,-73.9307,"07c511151921e268b260a2bc96399704",1700,"26 Broadway Terrace","low"
"3",1,1,"0b58423228e9e2f51bc268349b107dbc","2016-06-05 05:23:03","AWESOME KILLER ONE BEDROOM STEAL IN A GREAT UPPER EAST SIDE LOCATION HIGH 70'S NEAR SLOAN KETTERING AND THE 6 TRAIN REAL ONE BEDROOM WITH QUEEN SIZED BEDROOM WITH CLOSET AND WINDOW SO PLENTY OF LIGHT NICE SIZED LIVING ROOM KITCHEN COMBO WITH ALL NEW KITCHEN WITH DISHWASHER <br /><br /><p><a  website_redacted ","East 78th Street",40.773,7114083,-73.9558,"9cbfa7a31ae9dfba70b4383636d99788",2300,"265 East 78th Street","medium"
"4",1,1,"0","2016-05-16 10:23:54","Very large, bright one-bedroom apartment on the corner of Bedford and Prospect Place - quiet street. 3rd floor apartment. Large living room and kitchen, Queen sized Bedroom with large closet. Ample storage space including a very large utility closet. Apartment is in the back and the balcony overlooks trees/backyards which is very nice and serene. Monthly rent is $2,500. Does not include heat and hot water. Heating/air conditioning is through electric units which work very well. The highest the bill got in the winter was around $100, so they are pretty efficient. Laundry in basement. Nice tenants. Rooftop access. Really great market right below with organic and natural food. Very close to Franklin with tons of shops and bars. about an 8 min walk to 2/3 and 4/5 trains. Same walk to A/C trains. About 20 minutes to the city. I am the current tenant who needs to move out early, so there is no broker fee and I can honestly answer any questions you have about the place. This is my most favorite apartment, so I am very sad to go. Targeting June 1st move in for you, but can negotiate if you want to move in earlier. We will probably be out the last weekend in May. If you are interested, please email me to set up a time to see the place. I'm usually able to show it after 7 pm on weeknights and during the day on weekends. First, last and security needed to secure the place. The application process will be through the management company, who have been very friendly and extremely prompt with maintenance requests.","682 Prospect Place ",40.6744,7019894,-73.9543,"e6472c7237327dd3903b3d6f6a94515a",2500,"682 Prospect Place, apartment 3B","low"
"5",1,1,"cb0ecd5356125b546833239efdb154c2","2016-04-29 05:41:38","MASSIVE 1 BR , OPEN KITCHEN WITH STAINLESS STEEL APPLIANCES, LOTS OF CLOSETS, WASHER & DRYER!Full service luxury building, close to all trains A, C, F, R, 2, 3, 4, 5 Q, B Free GYM, indoor swimming pool, WiFi lounge, roof deck. Gas, heat and water included in rent. Verizon Fios and TimeWarner Cable in the building 24/7 Doorman, package room. Buildinglink.com to report any issues with the unit. Free bike storage and cold storage. Stainless steel appliances, apt comes with dishawasher, HVAC unit for both heat and AC, microwave and washer/dryer Small pets are OK, no pet fees, no pet deposits<br /><br />1 month free rentNet price!!!<br /><br /><br /><br /><p><a  website_redacted ","Gold Street",40.6969,6942846,-73.983,"ef015bf96d2c7f2d2923e65daedd0b33",2704,"257 Gold Street","low"
"6",2,2,"f5e2cdb7a92059ee5e3dbd97b03f03ce","2016-05-04 05:45:21","This beautiful, large 2 bedroom/2 bathroom apartment offering king size bedrooms, high ceilings, 5 spacious closets, exposed bricks, Washer/Dryer, hardwood floors, entry foyer, recessed lighting, ceiling fan, video intercom. Custom-designed separate kitchen with granite counter tops, stainless steel appliances, dishwasher, and a wine cooler. Totally renovated bathrooms are outfitted with marble.<br /><br />Located on a quiet tree lined street just few blocks from Union Square.<br /><br />No fee with 2 year lease. Shares, students, guarantors are allowed. Pets are allowed (no fee).<br /><br />To get more information call me now at 814-025-3817.<p><a  website_redacted ","E 18th St.",40.7344,6964554,-73.9823,"a2745e4ddab320a1fde31d4bbbdbba47",4295,"336 E 18th St.","low"
"7",1,1,"532bfc73b368253db55432e10eb3a59e","2016-05-11 00:15:21","This is newly renovated 1 bedroom in Midtown east. This is a Fantastic location. This apartment has hardwood floors, high ceiling, granite counter tops and white tile bathroom. Great deal and location for size.","249 east  53 street",40.7571,6992264,-73.9675,"e6472c7237327dd3903b3d6f6a94515a",2150,"249 east  53 street","medium"
"8",1,0,"0","2016-04-17 01:19:35","HOT STUDIO IN LOWER EAST SIDE! Bright and affordable price, great layout for a studio.The kitchen is updated with ample cabinet space and the bathroom is renovated. Great location, close to the F line and borders between East Village nightlife/restaurants and the charm of the LS. Easy to show, call or text JESSICA today to view this and others in the neighborhood! 041-370-4717 ","Allen Street",40.7225,6885075,-73.9885,"8706619681cf850b3f554ffe75a891c0",2050,"200 Allen Street","low"
"9",1,0,"6793f5ac1b909db6527abf7a55846135","2016-04-06 06:18:40","The perfect opportunity to experience luxury living at an unbelievable price! This apartment is simply amazing with JAW Dropping views of New York City and HUGE windows that supply you with natural sunlight. This apartment is incredible in size that will accommodate a Queen size bed set and dinning area. This apartment is nothing like anything on the market no bills but rent every month all Utilities included and luxurious! ~~UNBEATABLE DEAL~~LOW FEE OF ONE MONTH~~THE PERFECT PLACE TO CALL HOME~~<br /><br />Prime location close to resturaunts, shopping, minuites from 4,5,6 train<br /><br />for a private viewing  of an apartment that exist call Jamie Fields  032-568-9993 or email  kagglemanager@renthop.com<br /><br />IF THIS IS NOT WHAT YOUR LOOKING FOR, PLEASE DO NOT HESITATE TO CALL OR EMAIL WITH ANY QUESTIONS OR SPECIAL REQUESTS. I'LL BE MORE THAN HAPPY TO FURTHER ASSIST YOU IN WITH FINDING THE PERFECT APARTMENT :).<p><a  website_redacted ","Second Avenue",40.7817,6832089,-73.9497,"30a7951cfc21240e8c46b2d079d292e5",2175,"1751 Second Avenue","low"
"10",1,0,"97d3165b4f622e2d7c7377cf4f8b4793","2016-05-25 16:31:29","THIS IS THE ONE THAT WILL END YOUR SEARCH!!!  Just on the Market!! Immaculate prewar building with elevator, laundry facilities, voice intercom & elegant apartments! This massive renovated 1 bedroom home features polished hardwood floors, soaring ceilings, huge windows, spacious sunsplashed rooms, gourmet kitchen, and a beautifully tiled bathroom! Located in the heart of the Upper West Side, off Central Park, just steps to restaurants, shopping, entertainment and transportation!   CALL MIKE 208-421-1596 FOR VIEWING TIMES!   COME ENJOY THE GOOD LIFE FOR LESS $$$!!!!Listing Id: 172084","upper west side - central park",40.7836,7067184,-73.9771,"699c325b818541f314b691b76f3238d7",2450,"163 W 80th St","low"
